model,prompt_len,output_len,first_token_ms,total_ms,tpot_ms,source
llama31,256,128,32.50075690448284,3608.896971680224,28.16060011634442,manual_from_remote_probe_2026-06-07
llama31,4096,128,435.12935657054186,4031.7809963598847,28.32009165188459,manual_from_remote_probe_2026-06-07
llama31,8192,128,948.7343458458781,5128.776548430324,32.91371813058618,manual_from_remote_probe_2026-06-07
llama31,16384,128,2098.0727169662714,8013.250487856567,46.57620292039603,manual_from_remote_probe_2026-06-07
mamba,256,128,90.73096793144941,9327.811851166189,72.73292034043102,manual_from_remote_probe_2026-06-07
mamba,4096,128,565.0858944281936,9819.648071192205,72.87056832097647,manual_from_remote_probe_2026-06-07
mamba,8192,128,1119.0551538020372,10423.061618581414,73.25989342345966,manual_from_remote_probe_2026-06-07
mamba,16384,128,2267.5208300352097,11581.824482418597,73.34097364081407,manual_from_remote_probe_2026-06-07
