length,task,bucket_id,bucket_start_pct,bucket_end_pct,num_examples,correct,score,avg_relative_position,invalid_position_rows,pred_file
8192,niah_multikey_1,9,90.0,100.0,46,46,100.0,0.9461765480624476,0,results/exp_a/llama31/8192/niah_multikey_1.pred.jsonl
16384,niah_single_1,0,0.0,10.0,40,40,100.0,0.05089175523944346,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,1,10.0,20.0,55,55,100.0,0.1443028782656348,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,2,20.0,30.0,51,51,100.0,0.24932862619019747,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,3,30.0,40.0,51,51,100.0,0.3524893733156948,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,4,40.0,50.0,52,52,100.0,0.44368661628259876,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,5,50.0,60.0,45,45,100.0,0.5506788747745268,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,6,60.0,70.0,53,53,100.0,0.6560983427012631,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,7,70.0,80.0,46,46,100.0,0.7433735920534231,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,8,80.0,90.0,59,59,100.0,0.8498699911258465,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_single_1,9,90.0,100.0,48,48,100.0,0.9442227808949051,0,results/exp_a/llama31/16384/niah_single_1.pred.jsonl
16384,niah_multikey_1,0,0.0,10.0,49,49,100.0,0.04884508336906729,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,1,10.0,20.0,36,36,100.0,0.15432686063624512,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,2,20.0,30.0,63,63,100.0,0.24519113259391132,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,3,30.0,40.0,41,41,100.0,0.3351232581635384,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,4,40.0,50.0,57,57,100.0,0.44488462412568364,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,5,50.0,60.0,56,56,100.0,0.552041906291451,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,6,60.0,70.0,52,52,100.0,0.6550814328803191,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,7,70.0,80.0,53,53,100.0,0.7481277565337765,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,8,80.0,90.0,59,59,100.0,0.8580813895197265,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
16384,niah_multikey_1,9,90.0,100.0,34,34,100.0,0.9536940883306909,0,results/exp_a/llama31/16384/niah_multikey_1.pred.jsonl
32768,niah_single_1,0,0.0,10.0,43,43,100.0,0.05450816471180545,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,1,10.0,20.0,57,57,100.0,0.14708662273706322,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,2,20.0,30.0,45,45,100.0,0.24922694161593223,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,3,30.0,40.0,57,57,100.0,0.3505243295519438,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,4,40.0,50.0,53,53,100.0,0.44473920232292363,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,5,50.0,60.0,48,48,100.0,0.5546198817468092,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,6,60.0,70.0,54,54,100.0,0.6563952448337803,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,7,70.0,80.0,37,37,100.0,0.7466824263413582,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,8,80.0,90.0,56,56,100.0,0.848375380053278,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_single_1,9,90.0,100.0,50,50,100.0,0.9436707293720015,0,results/exp_a/llama31/32768/niah_single_1.pred.jsonl
32768,niah_multikey_1,0,0.0,10.0,49,49,100.0,0.04943651867042496,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,1,10.0,20.0,52,52,100.0,0.15633373017624838,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,2,20.0,30.0,52,51,98.07692307692308,0.25702932870811784,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,3,30.0,40.0,36,35,97.22222222222223,0.3464189135751783,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,4,40.0,50.0,48,48,100.0,0.45291147093723744,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,5,50.0,60.0,43,42,97.67441860465117,0.5542195010039097,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,6,60.0,70.0,50,50,100.0,0.6491194738662319,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,7,70.0,80.0,63,63,100.0,0.7550265724789222,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,8,80.0,90.0,59,59,100.0,0.8597055151727765,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
32768,niah_multikey_1,9,90.0,100.0,48,48,100.0,0.9530832445048231,0,results/exp_a/llama31/32768/niah_multikey_1.pred.jsonl
